 frequency       Tmag            Tphase         
 1.00000000e+00  7.29360708e+01 -2.07876272e-01 
 1.12201845e+00  7.29360560e+01 -2.33240748e-01 
 1.25892541e+00  7.29360374e+01 -2.61700050e-01 
 1.41253754e+00  7.29360139e+01 -2.93631757e-01 
 1.58489319e+00  7.29359844e+01 -3.29459503e-01 
 1.77827941e+00  7.29359472e+01 -3.69658587e-01 
 1.99526231e+00  7.29359004e+01 -4.14762267e-01 
 2.23872114e+00  7.29358415e+01 -4.65368813e-01 
 2.51188643e+00  7.29357673e+01 -5.22149423e-01 
 2.81838293e+00  7.29356739e+01 -5.85857090e-01 
 3.16227766e+00  7.29355564e+01 -6.57336535e-01 
 3.54813389e+00  7.29354084e+01 -7.37535345e-01 
 3.98107171e+00  7.29352221e+01 -8.27516435e-01 
 4.46683592e+00  7.29349875e+01 -9.28471997e-01 
 5.01187234e+00  7.29346923e+01 -1.04173911e+00 
 5.62341325e+00  7.29343206e+01 -1.16881716e+00 
 6.30957344e+00  7.29338528e+01 -1.31138733e+00 
 7.07945784e+00  7.29332639e+01 -1.47133427e+00 
 7.94328235e+00  7.29325226e+01 -1.65077027e+00 
 8.91250938e+00  7.29315895e+01 -1.85206206e+00 
 1.00000000e+01  7.29304152e+01 -2.07786049e+00 
 1.12201845e+01  7.29289372e+01 -2.33113331e+00 
 1.25892541e+01  7.29270773e+01 -2.61520114e+00 
 1.41253754e+01  7.29247369e+01 -2.93377674e+00 
 1.58489319e+01  7.29217923e+01 -3.29100750e+00 
 1.77827941e+01  7.29180881e+01 -3.69152097e+00 
 1.99526231e+01  7.29134293e+01 -4.14047295e+00 
 2.23872114e+01  7.29075713e+01 -4.64359715e+00 
 2.51188643e+01  7.29002077e+01 -5.20725500e+00 
 2.81838293e+01  7.28909553e+01 -5.83848344e+00 
 3.16227766e+01  7.28793351e+01 -6.54503713e+00 
 3.54813389e+01  7.28647503e+01 -7.33542034e+00 
 3.98107171e+01  7.28464584e+01 -8.21890159e+00 
 4.46683592e+01  7.28235393e+01 -9.20550151e+00 
 5.01187234e+01  7.27948567e+01 -1.03059413e+01 
