 frequency       db(v(Vout))     180*cph(v(Vout))/pi v(Vout)         v(Vout)        
 1.41253754e+03 -1.59146526e-03 -6.59362929e-02  9.99816131e-01 -1.15059432e-03 
 1.58489319e+03 -1.59271902e-03 -7.39817309e-02  9.99815815e-01 -1.29098768e-03 
 1.77827941e+03 -1.59429762e-03 -8.30088581e-02  9.99815417e-01 -1.44851148e-03 
 1.99526231e+03 -1.59628479e-03 -9.31374577e-02  9.99814917e-01 -1.62525586e-03 
 2.23872114e+03 -1.59878670e-03 -1.04501928e-01  9.99814287e-01 -1.82356602e-03 
 2.51188643e+03 -1.60193609e-03 -1.17253066e-01  9.99813494e-01 -2.04607324e-03 
 2.81838293e+03 -1.60590134e-03 -1.31560067e-01  9.99812495e-01 -2.29572983e-03 
 3.16227766e+03 -1.61089296e-03 -1.47612771e-01  9.99811238e-01 -2.57584827e-03 
 3.54813389e+03 -1.61717712e-03 -1.65624181e-01  9.99809656e-01 -2.89014510e-03 
 3.98107171e+03 -1.62508848e-03 -1.85833284e-01  9.99807663e-01 -3.24279021e-03 
 4.46683592e+03 -1.63504819e-03 -2.08508228e-01  9.99805155e-01 -3.63846210e-03 
 5.01187234e+03 -1.64758682e-03 -2.33949874e-01  9.99801998e-01 -4.08240980e-03 
 5.62341325e+03 -1.66337177e-03 -2.62495786e-01  9.99798023e-01 -4.58052244e-03 
 6.30957344e+03 -1.68324397e-03 -2.94524706e-01  9.99793019e-01 -5.13940714e-03 
 7.07945784e+03 -1.70826134e-03 -3.30461575e-01  9.99786719e-01 -5.76647635e-03 
 7.94328235e+03 -1.73975611e-03 -3.70783167e-01  9.99778788e-01 -6.47004584e-03 
 8.91250938e+03 -1.77940541e-03 -4.16024398e-01  9.99768804e-01 -7.25944439e-03 
 1.00000000e+04 -1.82932039e-03 -4.66785418e-01  9.99756235e-01 -8.14513671e-03 
 1.12201845e+04 -1.89215875e-03 -5.23739545e-01  9.99740412e-01 -9.13886114e-03 
 1.25892541e+04 -1.97126638e-03 -5.87642175e-01  9.99720492e-01 -1.02537836e-02 
 1.41253754e+04 -2.07085489e-03 -6.59340759e-01  9.99695416e-01 -1.15046699e-02 
 1.58489319e+04 -2.19622588e-03 -7.39785993e-01  9.99663848e-01 -1.29080784e-02 
 1.77827941e+04 -2.35405408e-03 -8.30044349e-01  9.99624110e-01 -1.44825745e-02 
 1.99526231e+04 -2.55273958e-03 -9.31312099e-01  9.99574086e-01 -1.62489705e-02 
 2.23872114e+04 -2.80285687e-03 -1.04493103e+00  9.99511117e-01 -1.82305922e-02 
 2.51188643e+04 -3.11771539e-03 -1.17240601e+00  9.99431853e-01 -2.04535741e-02 
 2.81838293e+04 -3.51406703e-03 -1.31542461e+00  9.99332082e-01 -2.29471880e-02 
 3.16227766e+04 -4.01299259e-03 -1.47587903e+00  9.99206504e-01 -2.57442031e-02 
 3.54813389e+04 -4.64102165e-03 -1.65589057e+00  9.99048451e-01 -2.88812835e-02 
 3.98107171e+04 -5.43153488e-03 -1.85783676e+00  9.98849539e-01 -3.23994200e-02 
 4.46683592e+04 -6.42652846e-03 -2.08438164e+00  9.98599227e-01 -3.63443982e-02 
 5.01187234e+04 -7.67882865e-03 -2.33850923e+00  9.98284265e-01 -4.07672983e-02 
 5.62341325e+04 -9.25487068e-03 -2.62356045e+00  9.97888009e-01 -4.57250221e-02 
 6.30957344e+04 -1.12381809e-02 -2.94327370e+00  9.97389560e-01 -5.12808346e-02 
 7.07945784e+04 -1.37337396e-02 -3.30182928e+00  9.96762695e-01 -5.75049049e-02 
 7.94328235e+04 -1.68734343e-02 -3.70389740e+00  9.95974540e-01 -6.44748166e-02 
 8.91250938e+04 -2.08228664e-02 -4.15468974e+00  9.94983926e-01 -7.22760082e-02 
 1.00000000e+05 -2.57898306e-02 -4.66001404e+00  9.93739368e-01 -8.10020829e-02 
 1.12201845e+05 -3.20348405e-02 -5.22633059e+00  9.92176593e-01 -9.07548994e-02 
 1.25892541e+05 -3.98841572e-02 -5.86080932e+00  9.90215535e-01 -1.01644323e-01 
 1.41253754e+05 -4.97458302e-02 -6.57138477e+00  9.87756733e-01 -1.13787463e-01 
