 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 5.60000000e-01  1.78435918e+00  5.60000000e-01  5.00000000e-01  5.60000000e-01  5.60000000e-01 
 5.70000000e-01  1.78946514e+00  5.70000000e-01  5.00000000e-01  5.70000000e-01  5.70000000e-01 
 5.80000000e-01  1.79342737e+00  5.80000000e-01  5.00000000e-01  5.80000000e-01  5.80000000e-01 
 5.90000000e-01  1.79530676e+00  5.90000000e-01  5.00000000e-01  5.90000000e-01  5.90000000e-01 
 6.00000000e-01  1.79598233e+00  6.00000000e-01  5.00000000e-01  6.00000000e-01  6.00000000e-01 
 6.10000000e-01  1.79656924e+00  6.10000000e-01  5.00000000e-01  6.10000000e-01  6.10000000e-01 
 6.20000000e-01  1.79707411e+00  6.20000000e-01  5.00000000e-01  6.20000000e-01  6.20000000e-01 
 6.30000000e-01  1.79747763e+00  6.30000000e-01  5.00000000e-01  6.30000000e-01  6.30000000e-01 
 6.40000000e-01  1.79766551e+00  6.40000000e-01  5.00000000e-01  6.40000000e-01  6.40000000e-01 
 6.50000000e-01  1.79770525e+00  6.50000000e-01  5.00000000e-01  6.50000000e-01  6.50000000e-01 
 6.60000000e-01  1.79772254e+00  6.60000000e-01  5.00000000e-01  6.60000000e-01  6.60000000e-01 
 6.70000000e-01  1.79773280e+00  6.70000000e-01  5.00000000e-01  6.70000000e-01  6.70000000e-01 
 6.80000000e-01  1.79773988e+00  6.80000000e-01  5.00000000e-01  6.80000000e-01  6.80000000e-01 
 6.90000000e-01  1.79774489e+00  6.90000000e-01  5.00000000e-01  6.90000000e-01  6.90000000e-01 
 7.00000000e-01  1.79774865e+00  7.00000000e-01  5.00000000e-01  7.00000000e-01  7.00000000e-01 
 7.10000000e-01  1.79775152e+00  7.10000000e-01  5.00000000e-01  7.10000000e-01  7.10000000e-01 
 7.20000000e-01  1.79775376e+00  7.20000000e-01  5.00000000e-01  7.20000000e-01  7.20000000e-01 
 7.30000000e-01  1.79775553e+00  7.30000000e-01  5.00000000e-01  7.30000000e-01  7.30000000e-01 
