 v-sweep         v(Vout)         v(V1)           v(V2)          
 8.30000000e-02  2.21407187e-02  8.30000000e-02  5.00000000e-01 
 8.40000000e-02  2.21407291e-02  8.40000000e-02  5.00000000e-01 
 8.50000000e-02  2.21407391e-02  8.50000000e-02  5.00000000e-01 
 8.60000000e-02  2.21407520e-02  8.60000000e-02  5.00000000e-01 
 8.70000000e-02  2.21407610e-02  8.70000000e-02  5.00000000e-01 
 8.80000000e-02  2.21407742e-02  8.80000000e-02  5.00000000e-01 
 8.90000000e-02  2.21407853e-02  8.90000000e-02  5.00000000e-01 
 9.00000000e-02  2.21407972e-02  9.00000000e-02  5.00000000e-01 
 9.10000000e-02  2.21408076e-02  9.10000000e-02  5.00000000e-01 
 9.20000000e-02  2.21408223e-02  9.20000000e-02  5.00000000e-01 
 9.30000000e-02  2.21408344e-02  9.30000000e-02  5.00000000e-01 
 9.40000000e-02  2.21408485e-02  9.40000000e-02  5.00000000e-01 
 9.50000000e-02  2.21408641e-02  9.50000000e-02  5.00000000e-01 
 9.60000000e-02  2.21408766e-02  9.60000000e-02  5.00000000e-01 
 9.70000000e-02  2.21408908e-02  9.70000000e-02  5.00000000e-01 
 9.80000000e-02  2.21409067e-02  9.80000000e-02  5.00000000e-01 
 9.90000000e-02  2.21409218e-02  9.90000000e-02  5.00000000e-01 
 1.00000000e-01  2.21409372e-02  1.00000000e-01  5.00000000e-01 
 1.01000000e-01  2.21409559e-02  1.01000000e-01  5.00000000e-01 
 1.02000000e-01  2.21409703e-02  1.02000000e-01  5.00000000e-01 
 1.03000000e-01  2.21409886e-02  1.03000000e-01  5.00000000e-01 
 1.04000000e-01  2.21410055e-02  1.04000000e-01  5.00000000e-01 
 1.05000000e-01  2.21410229e-02  1.05000000e-01  5.00000000e-01 
 1.06000000e-01  2.21410415e-02  1.06000000e-01  5.00000000e-01 
 1.07000000e-01  2.21410610e-02  1.07000000e-01  5.00000000e-01 
 1.08000000e-01  2.21410803e-02  1.08000000e-01  5.00000000e-01 
 1.09000000e-01  2.21411001e-02  1.09000000e-01  5.00000000e-01 
 1.10000000e-01  2.21411226e-02  1.10000000e-01  5.00000000e-01 
 1.11000000e-01  2.21411438e-02  1.11000000e-01  5.00000000e-01 
 1.12000000e-01  2.21411656e-02  1.12000000e-01  5.00000000e-01 
 1.13000000e-01  2.21411887e-02  1.13000000e-01  5.00000000e-01 
 1.14000000e-01  2.21412107e-02  1.14000000e-01  5.00000000e-01 
 1.15000000e-01  2.21412341e-02  1.15000000e-01  5.00000000e-01 
 1.16000000e-01  2.21412595e-02  1.16000000e-01  5.00000000e-01 
 1.17000000e-01  2.21412837e-02  1.17000000e-01  5.00000000e-01 
 1.18000000e-01  2.21413093e-02  1.18000000e-01  5.00000000e-01 
 1.19000000e-01  2.21413347e-02  1.19000000e-01  5.00000000e-01 
 1.20000000e-01  2.21413618e-02  1.20000000e-01  5.00000000e-01 
 1.21000000e-01  2.21413902e-02  1.21000000e-01  5.00000000e-01 
 1.22000000e-01  2.21414199e-02  1.22000000e-01  5.00000000e-01 
 1.23000000e-01  2.21414467e-02  1.23000000e-01  5.00000000e-01 
 1.24000000e-01  2.21414775e-02  1.24000000e-01  5.00000000e-01 
 1.25000000e-01  2.21415108e-02  1.25000000e-01  5.00000000e-01 
 1.26000000e-01  2.21415404e-02  1.26000000e-01  5.00000000e-01 
 1.27000000e-01  2.21415732e-02  1.27000000e-01  5.00000000e-01 
 1.28000000e-01  2.21416068e-02  1.28000000e-01  5.00000000e-01 
 1.29000000e-01  2.21416423e-02  1.29000000e-01  5.00000000e-01 
 1.30000000e-01  2.21416772e-02  1.30000000e-01  5.00000000e-01 
 1.31000000e-01  2.21417129e-02  1.31000000e-01  5.00000000e-01 
 1.32000000e-01  2.21417526e-02  1.32000000e-01  5.00000000e-01 
 1.33000000e-01  2.21417901e-02  1.33000000e-01  5.00000000e-01 
 1.34000000e-01  2.21418314e-02  1.34000000e-01  5.00000000e-01 
 1.35000000e-01  2.21418700e-02  1.35000000e-01  5.00000000e-01 
 1.36000000e-01  2.21419105e-02  1.36000000e-01  5.00000000e-01 
 1.37000000e-01  2.21419540e-02  1.37000000e-01  5.00000000e-01 
 1.38000000e-01  2.21419983e-02  1.38000000e-01  5.00000000e-01 
 1.39000000e-01  2.21420434e-02  1.39000000e-01  5.00000000e-01 
 1.40000000e-01  2.21420896e-02  1.40000000e-01  5.00000000e-01 
 1.41000000e-01  2.21421363e-02  1.41000000e-01  5.00000000e-01 
 1.42000000e-01  2.21421878e-02  1.42000000e-01  5.00000000e-01 
 1.43000000e-01  2.21422373e-02  1.43000000e-01  5.00000000e-01 
 1.44000000e-01  2.21422895e-02  1.44000000e-01  5.00000000e-01 
 1.45000000e-01  2.21423415e-02  1.45000000e-01  5.00000000e-01 
 1.46000000e-01  2.21423957e-02  1.46000000e-01  5.00000000e-01 
 1.47000000e-01  2.21424532e-02  1.47000000e-01  5.00000000e-01 
 1.48000000e-01  2.21425104e-02  1.48000000e-01  5.00000000e-01 
 1.49000000e-01  2.21425688e-02  1.49000000e-01  5.00000000e-01 
 1.50000000e-01  2.21426308e-02  1.50000000e-01  5.00000000e-01 
 1.51000000e-01  2.21426913e-02  1.51000000e-01  5.00000000e-01 
 1.52000000e-01  2.21427552e-02  1.52000000e-01  5.00000000e-01 
 1.53000000e-01  2.21428220e-02  1.53000000e-01  5.00000000e-01 
 1.54000000e-01  2.21428905e-02  1.54000000e-01  5.00000000e-01 
 1.55000000e-01  2.21429601e-02  1.55000000e-01  5.00000000e-01 
 1.56000000e-01  2.21430312e-02  1.56000000e-01  5.00000000e-01 
 1.57000000e-01  2.21431020e-02  1.57000000e-01  5.00000000e-01 
 1.58000000e-01  2.21431805e-02  1.58000000e-01  5.00000000e-01 
 1.59000000e-01  2.21432576e-02  1.59000000e-01  5.00000000e-01 
 1.60000000e-01  2.21433353e-02  1.60000000e-01  5.00000000e-01 
 1.61000000e-01  2.21434172e-02  1.61000000e-01  5.00000000e-01 
 1.62000000e-01  2.21435003e-02  1.62000000e-01  5.00000000e-01 
 1.63000000e-01  2.21435864e-02  1.63000000e-01  5.00000000e-01 
 1.64000000e-01  2.21436758e-02  1.64000000e-01  5.00000000e-01 
 1.65000000e-01  2.21437647e-02  1.65000000e-01  5.00000000e-01 
 1.66000000e-01  2.21438602e-02  1.66000000e-01  5.00000000e-01 
 1.67000000e-01  2.21439559e-02  1.67000000e-01  5.00000000e-01 
 1.68000000e-01  2.21440546e-02  1.68000000e-01  5.00000000e-01 
