 v-sweep         v(V1)           v(V2)           i(Vdd3)        
 7.10000000e-01  7.10000000e-01  7.00000000e-01  1.54354098e-07 
 7.20000000e-01  7.20000000e-01  7.00000000e-01  3.06302027e-07 
 7.30000000e-01  7.30000000e-01  7.00000000e-01  4.48735349e-07 
 7.40000000e-01  7.40000000e-01  7.00000000e-01  5.73074011e-07 
 7.50000000e-01  7.50000000e-01  7.00000000e-01  6.40800373e-07 
 7.60000000e-01  7.60000000e-01  7.00000000e-01  6.80840529e-07 
 7.70000000e-01  7.70000000e-01  7.00000000e-01  7.15409115e-07 
 7.80000000e-01  7.80000000e-01  7.00000000e-01  7.42384479e-07 
 7.90000000e-01  7.90000000e-01  7.00000000e-01  7.51626423e-07 
 8.00000000e-01  8.00000000e-01  7.00000000e-01  7.53447836e-07 
 8.10000000e-01  8.10000000e-01  7.00000000e-01  7.54292707e-07 
 8.20000000e-01  8.20000000e-01  7.00000000e-01  7.54832094e-07 
 8.30000000e-01  8.30000000e-01  7.00000000e-01  7.55186797e-07 
 8.40000000e-01  8.40000000e-01  7.00000000e-01  7.55446678e-07 
 8.50000000e-01  8.50000000e-01  7.00000000e-01  7.55642944e-07 
 8.60000000e-01  8.60000000e-01  7.00000000e-01  7.55793394e-07 
 8.70000000e-01  8.70000000e-01  7.00000000e-01  7.55910648e-07 
 8.80000000e-01  8.80000000e-01  7.00000000e-01  7.56003224e-07 
 8.90000000e-01  8.90000000e-01  7.00000000e-01  7.56077185e-07 
 9.00000000e-01  9.00000000e-01  7.00000000e-01  7.56136878e-07 
 9.10000000e-01  9.10000000e-01  7.00000000e-01  7.56185401e-07 
 9.20000000e-01  9.20000000e-01  7.00000000e-01  7.56225276e-07 
 9.30000000e-01  9.30000000e-01  7.00000000e-01  7.56258245e-07 
 9.40000000e-01  9.40000000e-01  7.00000000e-01  7.56285765e-07 
 9.50000000e-01  9.50000000e-01  7.00000000e-01  7.56308900e-07 
 9.60000000e-01  9.60000000e-01  7.00000000e-01  7.56328397e-07 
 9.70000000e-01  9.70000000e-01  7.00000000e-01  7.56345074e-07 
 9.80000000e-01  9.80000000e-01  7.00000000e-01  7.56359391e-07 
 9.90000000e-01  9.90000000e-01  7.00000000e-01  7.56371676e-07 
 1.00000000e+00  1.00000000e+00  7.00000000e-01  7.56382384e-07 
 1.01000000e+00  1.01000000e+00  7.00000000e-01  7.56391685e-07 
 1.02000000e+00  1.02000000e+00  7.00000000e-01  7.56399849e-07 
 1.03000000e+00  1.03000000e+00  7.00000000e-01  7.56407111e-07 
 1.04000000e+00  1.04000000e+00  7.00000000e-01  7.56413492e-07 
 1.05000000e+00  1.05000000e+00  7.00000000e-01  7.56419233e-07 
 1.06000000e+00  1.06000000e+00  7.00000000e-01  7.56424328e-07 
 1.07000000e+00  1.07000000e+00  7.00000000e-01  7.56428939e-07 
 1.08000000e+00  1.08000000e+00  7.00000000e-01  7.56433089e-07 
 1.09000000e+00  1.09000000e+00  7.00000000e-01  7.56436854e-07 
 1.10000000e+00  1.10000000e+00  7.00000000e-01  7.56440279e-07 
 1.11000000e+00  1.11000000e+00  7.00000000e-01  7.56443441e-07 
 1.12000000e+00  1.12000000e+00  7.00000000e-01  7.56446319e-07 
 1.13000000e+00  1.13000000e+00  7.00000000e-01  7.56448962e-07 
 1.14000000e+00  1.14000000e+00  7.00000000e-01  7.56451371e-07 
 1.15000000e+00  1.15000000e+00  7.00000000e-01  7.56453666e-07 
 1.16000000e+00  1.16000000e+00  7.00000000e-01  7.56455734e-07 
 1.17000000e+00  1.17000000e+00  7.00000000e-01  7.56457695e-07 
 1.18000000e+00  1.18000000e+00  7.00000000e-01  7.56459521e-07 
 1.19000000e+00  1.19000000e+00  7.00000000e-01  7.56461247e-07 
 1.20000000e+00  1.20000000e+00  7.00000000e-01  7.56462811e-07 
 1.21000000e+00  1.21000000e+00  7.00000000e-01  7.56464281e-07 
 1.22000000e+00  1.22000000e+00  7.00000000e-01  7.56465710e-07 
 1.23000000e+00  1.23000000e+00  7.00000000e-01  7.56467045e-07 
 1.24000000e+00  1.24000000e+00  7.00000000e-01  7.56468253e-07 
 1.25000000e+00  1.25000000e+00  7.00000000e-01  7.56469454e-07 
 1.26000000e+00  1.26000000e+00  7.00000000e-01  7.56470577e-07 
 1.27000000e+00  1.27000000e+00  7.00000000e-01  7.56471643e-07 
 1.28000000e+00  1.28000000e+00  7.00000000e-01  7.56472659e-07 
 1.29000000e+00  1.29000000e+00  7.00000000e-01  7.56473590e-07 
 1.30000000e+00  1.30000000e+00  7.00000000e-01  7.56474478e-07 
 1.31000000e+00  1.31000000e+00  7.00000000e-01  7.56475394e-07 
 1.32000000e+00  1.32000000e+00  7.00000000e-01  7.56476190e-07 
 1.33000000e+00  1.33000000e+00  7.00000000e-01  7.56476993e-07 
 1.34000000e+00  1.34000000e+00  7.00000000e-01  7.56477782e-07 
 1.35000000e+00  1.35000000e+00  7.00000000e-01  7.56478485e-07 
 1.36000000e+00  1.36000000e+00  7.00000000e-01  7.56479153e-07 
 1.37000000e+00  1.37000000e+00  7.00000000e-01  7.56479835e-07 
 1.38000000e+00  1.38000000e+00  7.00000000e-01  7.56480460e-07 
 1.39000000e+00  1.39000000e+00  7.00000000e-01  7.56481050e-07 
 1.40000000e+00  1.40000000e+00  7.00000000e-01  7.56481654e-07 
 1.41000000e+00  1.41000000e+00  7.00000000e-01  7.56482230e-07 
 1.42000000e+00  1.42000000e+00  7.00000000e-01  7.56482784e-07 
 1.43000000e+00  1.43000000e+00  7.00000000e-01  7.56483281e-07 
 1.44000000e+00  1.44000000e+00  7.00000000e-01  7.56483807e-07 
 1.45000000e+00  1.45000000e+00  7.00000000e-01  7.56484262e-07 
 1.46000000e+00  1.46000000e+00  7.00000000e-01  7.56484752e-07 
